clean_text,sentimen
uhuukk hello investor butuh kelinci percobaan riset lalu pakai rakyat sini kebanyakan dungu amp tolol otaknya isi bansos aku menang kemarin cabut uu tni amp tolak ruu kejaksaan kuhap,0
suka aneh kan ruu tni tergesah gesah kalo beginian mau tergesah gesah wkwkkw kocak,0
jehhhh lu liat ruu tni tergesanya kayak apa,0
kalau ruu tni cepat,1
pidato menggelegar podium ternyata implementasinya penuh lika liku tarik ulur soal ruu perampasan aset koruptor beda banget ma revisi uu tni gercep banget,0
we can do better kok ruu tni elu cepet ngesahinnya,0
giliran ruu tni tergesagesa si bangsat,0
lahh ruu tni dikebut libur,1
ruu tni ko cepat,1
berarti jauh lebih genting ruu tni gt yh,0
hahaha ketahuan kelicikan pemerintah ormas rakyat kritis kalau pembaca percaya buktikan ujungujungnya pandemic treaty protokol kesakitan l ruu tni polri dipercapat bill gates temui prabowo,0
kemarin ketutup riuh ruu tni kak padahal mah isinya agak² si ruu bumn,0
weuoh giliarn ruu tni langsung auto kebut diem diem cap dihotel wuanjiiiiiing,0
halah kontol ruu tni waktu ntu tergesagesa,1
giliran ruu tni cuma hari,0
kalo ruu tni buru buru cok,0
kemarin kenceng garap ruu tni giliran uu soal korupsi dibilang urgent tak tergesagesa memang cuma mikirin perut sendiri kelompokkelompoknya,0
macammacam dalih pemerintah dpr mengesahkan ruu perampasan aset koruptor beda ruu menambah kekuatan penguasa secepat kilat mengesahkan ruu tni ruu polri kejaksaan dibahas,1
giliran ruu tni tergesagesa dasar mak lampir,1
udah jaman jokowi ruu perampasan aset koruptor maju mundur gak kelar coba bandingkan revisi uu tni gak butuh waktu lama kelar,0
tolak ruu tni ka ku denger,0
pengesahan ruu tni menjadi undang undang cepat banget masa gak takut suaminya kena,0
sekelas gubernur mungkin tau soal kondisi kaum terdidik sensitif banget soal militerisasi doi tau demo kontra ruu tni terjadi mana beliau tetep bebal kemarin pernyataannya terkesan menjilat kubu militer apapun problemnya militer solusinya,0
semua ruu problematik memiliki satu benang merah menyatukan minimnya transparansi partisipasi bermakna masyarakat sipil proses pembuatannya ps kalian tau sendiri proses pembahasan uu tni kemarin rapat hotel tertutup,1
ketiga ruu kejaksaan sama halnya kayak polri tni kejaksaan diberi kewenangan luas terutama tekait penyidikan cek penjelasan keterangannya sini,1
kemarin ruu tni cepet banget dah,0
ruu tni ruu ciptaker cepet banget gak sampe sebulan beres dah bedanya apa sih,0
sebaran informasi ruu tni kak,1
kalau menyangkut pertamina berarti angkanya besar kemungkinan kasus heboh belakangan untk menutupi kasus besar terjadi demo ruu tni ijazah pemakzulan mungkin sedang dibuatkan isu lainnya,1
abis gosipin ruu tni kantor ternyata anak baru kantor cowonya kopssus lmaoo,1
tolak ruu tni pas kepala daerah mau pake solusi militeris ak mw alias kocak lu,1
gue tambahin ruu tni sah lebaran anak makan mbg keracunan sampe diopname presiden paporit bajer bilang cuma sedikit keracunan persentase keberhasilan mbg alias bodo sama anakanak keracunan fresh kan lu muak tpi komen makin muncul ditl lah,0
takut banget mungkin dampak ruu tni jadinya gitu harusnya gabole,0
bersama dukung pengesahan ruu tni,1
the thing is she did not she keeps supporting everything the fat old man does kemaren dukung ruu tni dg kesadaran penuh,1
upaya meilawan militerisme oligarki berlanjut pengesahan ruu tni maret kemarin banyak masalahnya mulai pembahasannya dikebut diamdiam minimnya partisipasi publik bermakna hingga pengesahannya dinilai,1
sekarang lu suruh rangkul semua katanya menyesal turun jalan minta ruu tni disahkan kemarin dicabut dicabut titik ngak alasan bacot menyemenye kek orang ngak punya otak gampang kan easy mah buat silent majority,0
that tolak ruu tni fangirling bersuara,1
oo jadi hasil ruu tni kemaren,1
hidup capekcapeknya terus tibatiba tutup galon susah dibuka kumpulan hanger susah diurai ruu tni disahkan,0
jd tt gw lah repost ttg halodek perkara ruu tni kmrn ngelink ig bbrp gue acc mutualan ternyata stlh skian lama gw baru sadar pas buka sg nya halodek smua,0
kemaren heboh aksi cheos ruu tni giliran ruu polri adem adem jelas siapa bermain tni dibawah kementrian polri tetap dibawah presiden,1
fakkk gw nyari draft ruu tni situs resmi pemerintah anjir apa gw kurang keras mencari gw butuh buat kti gw fakkk,0
enggak sih ngotot beginian banyak lho padahal lebih layak digaungkan ruu tni kpk gabisa tangkap direksi bumn ganti wapres mulu kmaren trus kalo benar faedahnya apa,0
tahun sibuk mensahkan uu penambahan wewenang ruu bumn ruu tni ruu polri ruu kuhap ruu kejaksaan semuanya sama penambahan kekuasaan anjir emang ruu perampasan aset dibuang pojok cuy purapura gak lihat cabutuutni tolakruukejaksaan,0
disahkannya ruu tni tujuannya,1
ruu kejaksaan beri jaksa kuasa perampasan aset aturan jelas plus wewenang semua peradilan pakar hukum khawatir celah korupsi bukan keadilan pembahasan dpr tertutup mirip uu tni publik khawatir ruu layani kepentingan elite bukan rakyat masyarakat,1
tara maca berita sigana ieu haha padahal pas ruu tni loba turun haha,1
gue heran sih kmrn kasus korupsi menghebohkan nominal fantastis banget merugikan negaranya dibilang belom kebutuhan mendesaknya harusnya ruu tni kmrn gak kebutuhan mendesak perampasan aset udah lbh mendesak udah darurat,0
emang ditolak banget x kenyataannya akar rumput nerima kayak pas tolak ruu tni isu selingkuhnya rk warga x semuanya teguh pendirian kemakan pengalihan isu akar rumput masyarakat org sekitarku lebih tau isu selingkuh,0
menolak ruu tni menolak penghinaan kpd purnawirawan jenderal tni,1
pasca disahkan ruu tni menjadi uubeberapa bulan lalu kedudukan tni menguattentu militer punya kesempatan bergerak lebih leluasa mungkin mau menyerah dibawah pimpinan si bocil,1
tinggal rubah aturannya rubah ruu tni secepat kilat masa sepele gini kaga,0
tengok lah myanmar biar paham masyarakat luas tolak ruu kejaksaan polri kuhap mesti cabut uu tni,1
undang undang model opooo ikihhhh mosok kpk kok dilarang nangkep direksi komisaris bumn ber korupsi pantesan ruu kejaksaan polri tni ditambah kewenangannya ra mutu babarrblassss,0
senyap jd revisi uu bumn isinya direksi n komisaris bukan penyelenggara negara bandingkan dg ruu tni dikebut hotel mewah ketauan emg et lihay pas trungkap korupsi patra niaga pertamina gercep ketemu jaksa agung,1
mang kalau bukan ketok palu syah tu ruu tni orang pintar,0
malam pertama langsung bahas ruu tni kemaren meng,1
puan ungkap megawati mendukung ruu tni,1
lagian masalah sebutin macem mbg keracunan ruu tni udah termasuk udah dibahas kok sama tempo,0
mending angkat isu permasalahan ky mbg keracunan ruu tni gausah digoreng ky isu begini,0
selamat pagi anti ruu tni anti purnawirawan tni politis aktivis kunyuk,1
main problem aku paling maju pas tolak ruu tni masa ku berpakaian serupa wkwwkkw lucu mengkhianati diri sendiri,0
beneerr padahal tinggal tunjukin tum ruu kayak gini ruu tni jadi lolos deh,0
revisi ruu tni langkah strategis memperkuat profesionalisme,1
pas mahasiswa demo tolak ruu tni wan abud tidur udah dikoreksi yaa,1
wkwkwk kan ruu tni sah,1
kualitas obrolan orang nolak ruu tni,0
fess guyss minta isiin kuisioner aku dong kriterianya kemarin up poster ruu tni story ig pake fitur add yours reply mau membantu,1
emang benar prediksi pdb indonesia mengalami perlambatan pertumbuhan bahkan stuck sampe tahun liat separah apa realisasi pemerintahan baru sama gue cmn tkt gebrakannya dar der dor ruu tni sah jadi uu tni,0
beneran vibenya kayak demo tolak ruu tni,0
juta orang bayangin kalau rakyat indonesia kumpul sebanyak buat turun jalan misalnya buat nolak ruu tni gedung dpr mungkin udah rata diinjek berjutajuta kaki muak,0
punya kimplus mengesah ruu tni semalam,1
ruu kuhap pasal ayat semua penyidik luar kejaksaan kpk tni al bawah koordinasi pengawasan polri implikasi polri jadi pusat kontrol penyidikan nasional tolak ruu polri ruu kuhap,1
bikinin ruu fangirl secepet ruu tni gak bertanya nada dering,1
tolak ruu tni,0
ruu tni wingi kae saiki piye yo kabare,1
pas debating class anak smp tak suruh bahas ruu tni spechless vicenzo pikirannya mengaitkan kasus kasus menurutku anak smp tau iniii wkwk keren banget sih emang anak osn ips ragukan,1
ruu tni disahkan,1
ah mosok siyh buktinya ruu tni udah ttd banyak koq gelombang demo mempermasalahkan ruu tni tersebut meski pdhl isinya menduduki jabatan sipil kementerian level eselon amp bukan pejabatnya polri udah banyak mengisi jabatan sipil tersebut,0
ruu tni disahkan,1
ruu tni disahkan,1
mahasiswa demo ruu tni apa sih kenal wan abud coba iqmu naik jd,1
apakabar ruu tni ruu polri,1
percayalah uu tni ruu polri ruu kejaksaan persiapan pilpres presidential threshold dihapus udah wajib main koalisikoalisian jadi cara main sandera menyanderanya diubah,1
ruu tni bertujuan meningkatkan profesionalisme tni menjaga kedaulatan negara indonesia uutni supremasisipil dukunguutni,1
y iyalah masa ketok jidatnya mang bs wo yah minimal tindakan konkrit lakukan rakyat memonitor ruu tni detikdetik semua rakyat bego kek fufufafa why fufufafa tau teknologi canggih membuat akun fufufafa mekukan,0
ruu tni hadir menjawab tantangan zaman peran strategis tni sesuai kebutuhan pertahanan modern ruutni pertahanannegara modernisasitni tniprofesional,1
mang wo yah minimal tindakan konkrit lakukan rakyat memonitor ruu tni detik per detik menit per menit semua rakyat bego kek fufu fafa fufufafa tau teknologi canggih membuat akun fufufafa mekukan,0
akun instagram pbhi nasional mendapat serangan digital berupa pembuatan akun palsu menyerupai akun aslinya isi kontennya dibuat memframing dukungan uu tni ruu kuhap salah satu video bahkan dibuat menggunakan ai dgn wajah ketua pbhi,1
ruu tni gercep secepat kilat jadi uu uu perampasan aset koruptor omon omon thok,0
buah hasil ruu tni katanya tni aktip tak duduk direksi hadeeh,1
jadi kalo berita aneh aneh wajarkan mau apalah tni polisi tata abaikan tutup semua kasus pake ruu penyiaran,0
didukung presiden punya pendukung dpr jadi pengen tahulihat kapan jadinya tuh ruu perampasan aset utk sah jd uu secepat kilat kayak ruu tni,0
oot dikit om draft ruu tni versi prapengesahan kan urusan narkotika sempet mau jd omsp tambahan sblm akhirnya dihapus terlepas kontroversi atw polemik dwifungsi i wonder klo realita disebut jd salah pertimbangan buat tambahan omsp,1
pagar laut ruu tni ruu polri maybe kasus hasto korupsi pertamina boikot well many tbh,1
dibayar yaelah demo dukung ruu tni beneran dibayar elu diem paling,0
ruu tni militer emang menguasai industri mining bukan rahasia umum dunia pertambangan ruu tni sahkan gak lama emang negara jadi milik militer beneran a republic run by rifles soon forgets how to listen to its people,0
ruu tni bertujuan meningkatkan profesionalisme tni menjaga kedaulatan negara indonesia uutni supremasisipil dukunguutni,1
negara hukum tpi trias politica rapuh ngapain coba emang oposisi ruu tni dlu mahasiswa tpi tetap gagal,0
ruu tni bukanlah ancaman harapan akab hadirnya harapan pertahanan negara lebih modern responsif profesional,1
gegara ruu tni gajelaz,1
semuamuanya dibuang barak lu liat tni kota sebobrok apa gr jelekin dibuang kesana semua melirik ruu tni kemarin,0
goblok sih kalo bersuara bakal jadi sasaran empuk rezim kalo pergerakan rakyat demo penolakan ruu tni ditunggangi ikutan dah kena framing pilpres emang program ruu visi misi capres,0
pov warganegara kebiri hak hak sipilnya undang² anti kepentingan rakyat tolak ruu kuhap polri kejaksaan trus cabut uu tni lalu sahkanuuperampasanasetkoruptor,0
ancaman tuh sekarang makin macem macem udah tugasnya tni buat menjaga kedaulatan negara ruu tni nih fungsinya payung hukum militer modern indonesiaemas prabowo,1
purnawirawan punya hak berpolitik praktis ruu tni dikhawatirkan banyak tentara aktif menduduki jabatan sipil bukan berpolitik praktis,1
ruu tni hadir memperjelas bukan membingungkan indonesiaemas prabowo,1
ay bingung kmaren buzzer ramai ntuk menolak ruu tni krna berpotensi ikut politik praktis skrng buzzer ramai membackup purnawirawan ntuk terjun politik praktis dijelaskan gak tum ngiahajjaajjaaaa,0
ruu tni sinergi pertahanan pembangunan makin terintegrasi indonesiaemas prabowo,1
butuh tni kuat fleksibel relevan ruu tni jawabannya indonesiaemas prabowo,1
ruu tni menjamin kesiapan militer menghadapi segala ancaman indonesiaemas prabowo,1
ruu tni memberikan jaminan legalitas peran strategis tni indonesiaemas prabowo,1
tujuan ruu tni uutni supremasisipil dukunguutni,1
eh kontol lu kira kebijakan danantara ruu tni ruu polri soon bawa efek apa buat indonesia otak lu isinya tai kotok sihh jadi wajar kalo denial junjungannya bermasalah koruptor dimaafin ihsg turun disepelein gue deh mendeskripsikan betapa dongonya lu,0
adik iparku tni ngotot banget bilang kalo ruu tni berdampak masyarakat sipil gedeg banget dengernya,0
jangan lupa lu dukung ruu tni kan soksokan golput padahal emang enabler,0
pas mahasiswa demo ruu tni abis tidur,0
video narasi tersebut perlu diteliti lebih lanjut berdasarkan informasi benar protes mahasiswa ugm terkait kebijakan pemerintah pemotongan anggaran pendidikan ruu tni bagian gerakan dark indonesia klaim,1
selalu saling lempar giliran ruu tni cepat banget selesai,1
istilahnya demokrasi bukan democrazy bahasa gampangnya rembukan dulu cari kata sepakat baru diterapkan pengalaman pengesahan ruu tni kemarin dpr ngumpet terburuburu lalu tau sah demokrasinya ngomong sebakul berak sekebon tolakruukejaksaan tolakruukuhap,0
alah alesan doang omon kalo prabowo niat ruu perampasan aset minggu langsung sah koalisi prabowo dpr alesannya lucu nunggu rkuhap lah ruu tni bumn langsung sah tuh pake nunggu,0
gara gara ruu tni kemarin mengerikan kali negara ancur diobok obok ama tu orang,0
baca gw ngerasa diwakilkan kalian waktu ruu tni disahkan cabutuutni tolakruupolri tolakruuasn tolakruukuhap tolakruukejaksaan tolakruupenyiaran,0
ruu tni mulaii menyala tim mawar gaya baru xixixi,1
hasil uu tni kemarin banyak intimidasi aktivis lancarnya pengesahan ruu tersebut akal sehat bernegara demokrasi coba diutakatik bahkan jabatan dijabat profesional diambil alih tni,1
sih curiga waspada sikap orang yuk cek sikapnya hubungkan polemik nasional undang² pajak kendaraan disahkan tampil dermawan ruu tni ditentang gandengan tangan,1
ruu tni luar biasaa penuh dg kejutan,1
hasil ruu tni narko saingan sama polri nih zzz,1
hasil pilihan tuh bikin bbrp orng diculik ruu tni disahin sama jurnalis digebukin btw,0
lah dampak ruu tni direstui dpr presiden loh lah kok tni aktif,0
trauma kalau aktivis tetiba endorse tunutnan pensiunan tentara minta wapres dicopot maklum aktifis pelontos kayak celek anti ruu tni anti pensiunan,0
gue sejak demo tolak ruu tni udah hopeless ditambah kabar uu tni udah diteken lebaran gila kemaren demo dianggap hewan mencicit tau gini gue coblos tigatiganya biar suara gak sah,0
kip bukannya bertujuan transparansi pelaksanaan kebijakan tugas misal mau nanya draf naskah akademik ruu tni kemarin kok jadi masuk ranah data pribadi data pribadi diekspos biasanya uu mewajibkan misal lhkpn bantu jelasin,1
terjadinya demonstrasi kilat until membatalkan ruu tni slogan free papua maluku amp aceh muncul forum pbb banyak perusahaan diduga kawanan rezim sebelumnya melakukan phk massal hampir bersamaan kdm gubernur jawa barat semua kebijakan jadi sorotan,1
bahkan temen gue bagian ngotot si demo sama ruu tni gue ngebatin dalem hati cukk ngono wae takok,0
hasil ruu tni,1
ih punyaku jga aku hapusin grgr waktu naikin ht masalah ruu tni nyuruh buat hapus foto biar dilacak jdinya yah,0
wakil rakyat komisi i harusnya pembahasan ruu kemarin kritisi penambahan batas usia hingga tahun menjadikan pimpinan tni bs menjabat tahun kedepanini syarat dg motif pribadiharusnya tb faham,1
ruu tni memang luar biasa,1
ruu tni kini menjadi uu tni salah satunya poinnya duduki jabatan sipilsemua tentara berebut jabatan sipil gak mau utk berperang cukup rakyat sipil menjaga keamanan negara,1
fakultas hukum universitas brawijaya fh ub bersama koalisi masyarakat sipil memberikan kritik tajam terkait revisi undangundang ruu tni polri hingga kejaksaan ruu tersebut berpotensi menimbulkan tumpang tindih kewenangan abuse of power,1
ramai penolakan ruu tnipolrikejaksaan publik khawatir soal dwifungsi abri mencuat lewat revisi uu usia pensiun diperpanjang perwira aktif jabat posisi sipil ruu kejaksaan disorot impunitas jaksa demokrasi diuji tolakruukejaksaan cabuttni tolakruupolri,1
wowo sama kayak mulyono sama jago drama sama tukang ngibul padahal dpr dikuasai koalisi kim plus suara klo emang niat mah satu bulan awal uda disahkan tuh ruu pa lah ruu tni dikebut cuma seminggu doang langsung sah,0
puncak komedinya demo ruu tni bersorak purnawirawan minta gibran dimakzulkan,1
ka sodaraku nanyain knp si org² pda protes ruu tni giliran aku kasih tau dampak terburuknya eh doi mlh denial n gw tau sih baca berita begituan ngapain ngurusin begituan kn anjeng bgttt pdhl ngaruh btw msh nganggur,0
mungkin tni lupa perluasan ruu tni utk prajurit aktif diizinkan menduduki jabatan sipil kementrianlembaga diluar kementerianlembaga ditentukan wajib utk mengundurukan diri pensiun dini mundur dulu pak,1
cepetnya ngalahin pengesahan ruu tni,0
gw heran knp bagian ruu tni org lngsung indonesia gelap tolak militerisasi bagian anak² sma dikirim barak militer sama kdm org malah mendukung penuh ngerti sih implikasinya pendidikan sma ruang lingkupnya sipil tugas sipil diurus tni asa pernah denger,1
bukannya dpr ngebikin draft revisi ngebut bjir pak anies kepikiran buat nolak ruu tni soalnya emang belom desas desus mau diubah kayak gini kali sama apanya kontol,0
kemarin kan tagline soal ruu tni barak nah si kdm ngajak masyarakat barak berkegiatan bersama tni barak,1
bilang bela engga gue mau liat bukti program buat lagian rakyat emang apa ruu tni tetap sahkan walaupun banyak nentang,0
justru ruu tni pamen pati bukan tamtama,0
temen² gue sendiri ngaku pas gue tanya pilihan paslon berapa pas pilpres kemarin gue tanyanya pas waktu demo ruu tni kemarin berawal gue vokal banget menyuarakan tsb temen² gue tanya apa sih is,1
waswas ruu kejaksaan pengawasan multimedia sangat meresahkan temanteman pers mencederai hak asasi manusia tolakruukejaksaan minggu siang panglima tni jambak mecima tiwi indomy bakri tolak bpjs fattzaran,1
sekelas ruu tni tau kasusnya akar masalahnya menyangkut mantan fandom nya jae is watching,0
orangorang sadar gak sih ruu tni kayak supersemar,1
demo ruu tni mana banyak orang indo tutup mata tau vocal beginian gak mungkin bro satu gatau malah mungkin lebih tau bro wkwk,0
temenku malah seneng sama ruu tni ngira bakal kena dampaknya kali,1
ruu tni,1
ruu tni sat set lebih urgent kok kayak mandeg ayolah bos buat gebrakan korupsi sgt darurat tinggalkan legacy bermanfaat mumpung menjabat omonomon,1
oiya mbg nya bergizi malah beracun cabe mahal disuruh tanem sendiri menteri esdm nya joki s danantara katanya buat rakyat ngelarang rakyat wartawan buat liput uu tni lebih cepet sahkan ruu perampasan aset,0
peduli kak temenku voter tau cuma gimmick tiktok makanya belio suka sama pa anis sekarang gada tuh pas ketemu bahas kebobrokan negara pernah aku mention malah blg gatau sih terlalu ngikutin terkait ruu tni waktu,1
kalian kuasai dpr terbukti ruu tni disahkan semalam tggu dpr hahaha kalau bodohin org pintar lu mentri brengsek,0
ruu tni mengembalikan dwi fungsi abri,1
ayo anggota dpr yth ruu tni cepet kalian kaya gini lah hari jadi bakal demo mau hotel paling mewah indonesia,0
nitip hapus ruu tni,0
ruu tni sampe nyewa hotel buat diresmiin sehari ruu perampasan aset lempar bola melulu begini selesainya mungkin kiamat emang political willnya gak gak niat berantas korupsi,0
betul juta fans kpop indo penggemar day semua beroganisir soalnya pas demo tolak ruu tni mengorganisir logistik medis,1
this malah gue kaya ahok versi sunda dah kebijakan blio pro n kontra n wajar siih serunya kerjanya kontenin n eritain media trus jadi kalo kebijakan nyeleweng justru lebih enak kritiknya uhuk² ruu tni,1
udah susah makin susah gegara ruu tni ntuh,0
gw tuh kadang kalo kantor kepengen ngobrolin soal keracunan mbg rupiah naik ruu tni aksi kamisan kek sesimpel phk masal akibat efisiensi kek kgk paham jir capeq fyp either olahraga tobrut si,0
pemerintah dpr banyak ngelesnyaruu tni dikebut mesti banyak penolakanini didukung rakyat indonesia malah lelet kayak siput,0
ruu polri lebih berbisa uu tni waspada demokrasi bukan mati rakyat jadi zombie tolak nkri demokrasi,0
ruu tni lolos semogaa ruu polri ruu kuhap kawal terus,1
vibes konser kali kayak pengepungan dpr diem pengesahan ruu tni,1
kawal terus jangan sampe kecolongan kayak terjadi ruu tni tibatiba disahkan,0
jangan terlalu berharap negara udah ngesahin ruu tni,0
pengesahan ruu tni langkah monumental memperkuat ketahanan nasional tengah ketidakpastian global uutni ruutni tni indonesiagazz,1
berasa anggap masa unjuk rasa demo pas kmren ruu tni polri cupu bet aeh cimm,0
tolak ruu tni makin bubar ngangong doangg,0
punya teori konspirasi tersendiri perihal ijazah jokowi palsu tidaknya pengalihan isu ruu tni ingat ruu tni dihilangkan indonesiagelap,1
sorry but we can t do that in jakarta takut banget dikira dukung ruu tni hahaha,0
ruu kuhap ruu polri lebih berbahaya ruu tni,0
ruu polri blom bahas ketuk jadi uu jiwajiwa algojo lepas kendali ruu kuhap ruu polri lebih berbahaya ruu tni polisi menjadi segalanya super power kendali dikhawatirkan terkait penyalahgunaan kekuasaan,0
ruu tni,1
semua ruu ruu omnibus sisdiknas amp ruu ketenagaan disahkan peran publik masuknya tni amp polri bentuk pembungkaman ruang sipil supremasi sipil dikedepankan gatot hos_tour_jakarta_d queen of tears semalem,1
suatu pagi cerah hari mayday turun jalan kampus sedang krisis peradaban ruu tni polri kejaksaan amp kuhap produk penguasa menuai banyak kontra gatot hos_tour_jakarta_d queen of tears semalem lovelyrunner ngepel bolehh,1
cuma hari utk ngesahin ruu tni,0
pantes ngedukung ruu tni kok jahat sih geng makassar ngajak apa gara per,0
ruu tni kemaren bukan dpr ngajuin soalnya jadi cepet banget langsung disahkan wkwk,1
dpr tumben pinter merisaukan abuse of power ruu perampasan aset ruu kejaksaan ruu kuhp kog mengkuatirkan sama segera selesaikan ruu perampasan aset jangan tahunya ngebut ruu tni jangan salahkan masyarakat berasumsi,0
banyak pihak melihat hak imunitas kewenangan intelijen ruu kejaksaan disalahgunakan oknum tertentu terlihat dpr tolakruukejaksaan pandangan ruu perampasan aset hari sabtu kapolri ngepel pagii ppad panglima tni,1
omon omon partai dpr mendukung pemerintah seminggu kelar kayak ruu tni prabowo panggil ketum partai desak uu perampasan aset selesai tu barang,1
loh kok beroperasi sekuat itukah cv sentosa seal ngeriiiingerrrii pandangan ruu perampasan aset hari sabtu morningg ngepel pagii ppad panglima tni,0
an parlemen harusnya kilat kaya ruu tni buya,1
beda ruu omnibuslaw ruu tni kemarin nunggununggu kesiapan segala macam tahutahu rapat paripurna bahkan rapat hotel mengesahkannya jangan harap selesai waktu cepat semua prosedur dilakukan bila perlu berteletele,1
gombal bokis macan ompong panggung ruu tni cepat,0
kalau jelas kontra menolak ruu tni polri jelas merugikan masyarakat ntah waktu dekat maupun masa depan,0
pk undang purnawiran memasukan ruu perampasan aset delapan tuntutan forum purnawirawan tni pemerintah,1
capek capek tolak ruu tni malah gubernur ngirim anak barak,0
seingat keputusan didpr diambil suara terbanyak suara terbaik didpr skrg dikoalisi pemerintah kalo presiden niat ruu perampasan aset langsung sah hitungan minggu ruu tni,1
bullshit lah otoriter apaan disini baru ruu tni pasa demo brutal wkwkwkwkwk,0
aneh bapak satu kemarin uu tni kebut kok masa ruu bagus begini nunggu kesiapan bilang kalian siap klo aset kalian rampas,0
kesiapan gimana maksudnya kemarin ruu tni dikebut kok ruu pak suara seluruh rakyat indonesia,0
lupakan ruu perampasan asetselama presidennya wowo featuring wiwi tetap omon doangserumit apasihruu tni semalam dikebut jadi bertahun mangkrak jelas ruu berguna mengembalikan aset negara disaat kondisi moratmarit begini,0
lakukan diem diem pak klo mau ngesahin ruu perampasan kayak uu tni mu kalo gaunggaungkan mulu kesannya terasa bohong,0
ruu tni sah premanisme sengaja liarkan org sendiri tni beresin pamor tni naik nice gak,0
tni sejak pengesahan ruu uu mulai terdistorsi akibatnya jadi terlihat profesional entah terjebak politik praktis lainnya tuhan tau batalkan uu tni profesional,0
byk quote lebay banget disuruh vasektomi kan bla bla bla dukung ruu tni pd bilang lebay banget sampe demo takut hak sipil diambil pdhl bla bla bla nyatanya wkwkwkwkwk,0
jangan cuma didukung doang pak langsung sahin kayak ruu tni kemarin,0
gue bingung pendukung tolak ruu tni malah dukung papua merdeka bersimpati teroris opm padahal enggak hubungannya,0
stop represi rakyat cabut uu tni tolak ruu kejaksaan tolak ruu kuhap tolak ruu polri segera sahkanuuperampasanasetkoruptor,1
dukung ruu tni melindungi memelihara keutuhan kedaulatan nkri,1
bersama dukung ruu tni memperkuat kedaulatan nkri,1
wkkwwk trump ngacak ngacak pasar saham dollar menurun nnti kalo dollar naik rupiah melemah gue sadar ternyata app penuh sama pemuja wowo amp joko giliran info gini keluar ni pemuja pemujanya pas demo ruu tni diem,0
